id;start_date;end_date;language
1;2020-11-04T15:50:38;2020-11-04T13:40:53;SPANISH
2;2020-11-03T20:40:49;2020-11-04T15:45:14;SPANISH
3;2020-11-04T11:36:08;2020-11-03T22:10:17;FRENCH
4;2020-11-04T02:53:39;2020-11-04T14:25:05;FRENCH
5;2020-11-04T12:23:57;2020-11-04T17:10:56;FRENCH
6;2020-11-04T06:16:18;2020-11-04T18:24:32;FRENCH
7;2020-11-04T08:01:38;2020-11-04T01:52:29;FRENCH
8;2020-11-04T06:57:51;2020-11-04T17:13:59;SPANISH
9;2020-11-04T05:39:00;2020-11-04T02:20:23;SPANISH
10;2020-11-04T13:51:04;2020-11-04T00:25:34;SPANISH
